,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
108,108,UCwSIJCMWZC5GDM59wj7pMsg,nbjXe0n1kJY,With Love | Official Trailer | Prime Video,2021-12-01T19:29:46Z,2021-12-01T19:29:46Z,with love | official trailer | prime video,True
109,109,UCwSIJCMWZC5GDM59wj7pMsg,3hN-xuOeHio,The Vault | Official Trailer | Prime Video,2021-08-18T08:59:47Z,2021-08-18T08:59:47Z,the vault | official trailer | prime video,True
110,110,UCwSIJCMWZC5GDM59wj7pMsg,HyjBnHyRzi0,The Jonas Brothers Exclusive Trailer | Happiness Continues | Prime Video,2020-04-23T18:54:58Z,2020-04-23T18:54:58Z,the jonas brothers exclusive trailer | happiness continues | prime video,True
111,111,UCwSIJCMWZC5GDM59wj7pMsg,egoWSnV0m2o,Outlander Season 1 - Episode 16 Trailer | Prime Video,2015-05-26T12:59:51Z,2015-05-26T12:59:51Z,outlander season 1 - episode 16 trailer | prime video,True
113,113,UCwSIJCMWZC5GDM59wj7pMsg,vL0dzF_3_gA,All or Nothing: New Zealand All Blacks - Official Trailer | Prime Video,2018-05-11T07:59:59Z,2018-05-11T07:59:59Z,all or nothing: new zealand all blacks - official trailer | prime video,True
114,114,UCwSIJCMWZC5GDM59wj7pMsg,noAtmtxgJYw,Booksmart - Trailer | Prime Video,2020-02-14T20:59:48Z,2020-02-14T20:59:48Z,booksmart - trailer | prime video,True
115,115,UCwSIJCMWZC5GDM59wj7pMsg,0Nfhr7aCxFo,The Great Escapists with Richard Hammond | Official Trailer | Prime Video,2021-01-05T10:00:00Z,2021-01-05T10:00:00Z,the great escapists with richard hammond | official trailer | prime video,True
116,116,UCwSIJCMWZC5GDM59wj7pMsg,XjCrKvetsic,Turn: Washington&#39;s Spies Season 3 - Teaser Trailer | Prime Video,2016-04-13T15:12:10Z,2016-04-13T15:12:10Z,turn: washington&#39;s spies season 3 - teaser trailer | prime video,True
117,117,UCwSIJCMWZC5GDM59wj7pMsg,tbpjMFSXaqA,The Tick Season 2 - Official Trailer | Prime Video,2019-02-27T17:59:59Z,2019-02-27T17:59:59Z,the tick season 2 - official trailer | prime video,True
118,118,UCwSIJCMWZC5GDM59wj7pMsg,dSBpHjUpuXI,Nine Perfect Strangers | Official Trailer | Prime Video,2021-07-22T15:59:48Z,2021-07-22T15:59:48Z,nine perfect strangers | official trailer | prime video,True
119,119,UCwSIJCMWZC5GDM59wj7pMsg,3Tmu8wUHW-Q,Outlander - Hero Trailer | Prime Video,2015-02-26T10:45:47Z,2015-02-26T10:45:47Z,outlander - hero trailer | prime video,True
120,120,UCwSIJCMWZC5GDM59wj7pMsg,aRejWo0j7Bs,The Green Knight | Official Trailer | Prime Video,2021-09-10T16:09:03Z,2021-09-10T16:09:03Z,the green knight | official trailer | prime video,True
121,121,UCwSIJCMWZC5GDM59wj7pMsg,3tnIuJcH5n0,Black Sails Season 4 - Launch Trailer | Prime Video,2016-11-04T15:51:37Z,2016-11-04T15:51:37Z,black sails season 4 - launch trailer | prime video,True
122,122,UCwSIJCMWZC5GDM59wj7pMsg,sxRJyV1pmek,Coming 2 America | Official Trailer | Prime Video,2020-12-22T15:00:16Z,2020-12-22T15:00:16Z,coming 2 america | official trailer | prime video,True
123,123,UCwSIJCMWZC5GDM59wj7pMsg,EAvBT4N-mqc,Justin Bieber: Our World | Official Trailer | Prime Video,2021-10-01T16:41:00Z,2021-10-01T16:41:00Z,justin bieber: our world | official trailer | prime video,True
124,124,UCwSIJCMWZC5GDM59wj7pMsg,HyjBnHyRzi0,The Jonas Brothers Exclusive Trailer | Happiness Continues | Prime Video,2020-04-23T18:54:58Z,2020-04-23T18:54:58Z,the jonas brothers exclusive trailer | happiness continues | prime video,True
125,125,UCwSIJCMWZC5GDM59wj7pMsg,egoWSnV0m2o,Outlander Season 1 - Episode 16 Trailer | Prime Video,2015-05-26T12:59:51Z,2015-05-26T12:59:51Z,outlander season 1 - episode 16 trailer | prime video,True
